                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.22741,                0.53855,                 1.0029,                0.77147,                0.71321,                0.80981,                0.47343,                0.20882,                 0.6428,                 1.0833,              0.0079953,              0.0079953,              0.0079953
                     83,                0.23103,                0.54117,                0.99591,                0.76753,                0.72066,                0.80816,                0.46719,                0.20811,                0.62951,                 1.0814,              0.0079705,              0.0079705,              0.0079705
                     84,                0.22696,                0.53258,                0.99173,                0.77617,                0.73514,                0.81195,                0.47812,                0.20571,                0.61875,                 1.0758,              0.0079457,              0.0079457,              0.0079457
                     85,                0.23432,                0.53033,                 1.0005,                0.72963,                0.72498,                0.79209,                0.45321,                0.22125,                0.68041,                 1.0875,               0.007921,               0.007921,               0.007921
                     86,                0.23199,                0.52954,                  1.003,                0.74933,                0.74108,                0.80427,                0.47346,                0.20817,                0.62706,                 1.0762,              0.0078963,              0.0078963,              0.0078963
                     87,                0.22724,                0.53115,                0.99083,                0.75794,                0.73475,                0.80852,                0.46033,                0.21721,                0.61007,                 1.0879,              0.0078715,              0.0078715,              0.0078715
                     88,                0.22635,                0.52398,                0.99943,                0.77465,                 0.7297,                0.81324,                0.45831,                0.21574,                0.60762,                 1.0934,              0.0078467,              0.0078467,              0.0078467
                     89,                0.22044,                0.51718,                0.99176,                0.76737,                0.70978,                0.80418,                0.47067,                0.21441,                0.62261,                 1.0831,               0.007822,               0.007822,               0.007822
                     90,                0.22412,                0.52307,                0.99457,                0.75909,                 0.7382,                 0.8092,                0.46824,                0.20905,                0.60851,                 1.0791,              0.0077973,              0.0077973,              0.0077973
                     91,                0.21842,                0.50956,                0.98959,                0.76059,                0.75167,                0.82603,                0.48166,                0.20836,                 0.5974,                 1.0719,              0.0077725,              0.0077725,              0.0077725
                     92,                0.23019,                0.52707,                0.99458,                 0.7597,                0.74129,                0.81855,                0.48843,                0.20369,                 0.6059,                 1.0666,              0.0077478,              0.0077478,              0.0077478
                     93,                0.22505,                0.50265,                 0.9809,                0.76217,                0.72643,                0.80867,                0.46972,                 0.2126,                0.60942,                 1.0755,               0.007723,               0.007723,               0.007723
                     94,                0.23296,                 0.5101,                 1.0051,                0.75701,                0.74005,                0.81141,                 0.4814,                0.20268,                0.59997,                 1.0663,              0.0076983,              0.0076983,              0.0076983
                     95,                0.22492,                 0.4966,                0.98742,                0.79354,                0.73002,                0.82414,                0.47929,                0.20915,                 0.5869,                 1.0771,              0.0076735,              0.0076735,              0.0076735
                     96,                 0.2195,                0.49314,                0.98142,                0.77541,                0.71461,                0.80498,                0.46822,                 0.2068,                0.62459,                 1.0788,              0.0076488,              0.0076488,              0.0076488
                     97,                0.22243,                0.49213,                 0.9845,                0.77458,                0.73276,                 0.8167,                0.46997,                0.20982,                0.62095,                 1.0778,               0.007624,               0.007624,               0.007624
                     98,                0.21796,                0.49667,                0.98553,                0.74149,                0.71551,                0.79109,                0.45353,                0.21074,                0.65024,                 1.0951,              0.0075993,              0.0075993,              0.0075993
                     99,                0.21452,                0.49272,                0.98938,                0.72891,                0.69921,                0.77675,                0.45367,                0.21108,                0.70596,                 1.0747,              0.0075745,              0.0075745,              0.0075745
                    100,                0.22305,                0.49709,                0.99253,                0.76543,                0.71127,                 0.8032,                0.47297,                0.20572,                0.61983,                 1.0685,              0.0075498,              0.0075498,              0.0075498
                    101,                0.22799,                0.48259,                0.98647,                0.77681,                0.72356,                 0.8114,                0.47793,                0.20489,                0.60922,                 1.0657,               0.007525,               0.007525,               0.007525
                    102,                0.21796,                0.47843,                0.98457,                0.76865,                0.75025,                0.81969,                 0.4836,                0.20328,                0.59888,                 1.0658,              0.0075003,              0.0075003,              0.0075003
                    103,                0.20953,                0.49555,                0.97581,                 0.7735,                 0.7366,                0.82717,                0.47889,                0.21221,                0.58773,                 1.0687,              0.0074755,              0.0074755,              0.0074755
                    104,                0.22513,                0.48689,                0.98758,                0.76385,                0.70449,                0.79622,                0.46807,                 0.2126,                 0.6445,                 1.0749,              0.0074507,              0.0074507,              0.0074507
                    105,                0.21983,                 0.4689,                0.97793,                0.74307,                0.69828,                0.78135,                0.46003,                0.21247,                0.69546,                 1.0793,               0.007426,               0.007426,               0.007426
                    106,                0.21804,                0.48059,                0.98007,                 0.7712,                0.73355,                0.81922,                0.48738,                0.20397,                0.60058,                 1.0645,              0.0074013,              0.0074013,              0.0074013
                    107,                0.21543,                0.46405,                0.97415,                 0.7899,                0.72354,                0.81195,                0.48576,                0.19952,                0.63645,                 1.0607,              0.0073765,              0.0073765,              0.0073765
                    108,                0.21829,                0.45212,                0.97856,                0.77761,                0.71921,                0.81332,                0.46668,                 0.2089,                0.61773,                 1.0858,              0.0073517,              0.0073517,              0.0073517
                    109,                 0.2143,                0.45886,                0.98119,                0.75991,                0.73849,                0.80022,                0.48571,                0.20161,                0.64971,                 1.0533,               0.007327,               0.007327,               0.007327
                    110,                 0.2221,                0.45627,                0.98217,                0.77204,                0.73821,                 0.8102,                0.48021,                 0.2084,                 0.6311,                 1.0604,              0.0073023,              0.0073023,              0.0073023
                    111,                0.21439,                0.45226,                0.97171,                0.74806,                 0.7286,                0.80178,                0.47521,                 0.2054,                0.64353,                 1.0626,              0.0072775,              0.0072775,              0.0072775
                    112,                0.21004,                0.45019,                0.97272,                0.76264,                0.75565,                0.82355,                0.46982,                0.20695,                0.57979,                 1.0737,              0.0072527,              0.0072527,              0.0072527
                    113,                0.22587,                0.44783,                0.98115,                0.74449,                0.74332,                0.81119,                0.47747,                0.20325,                0.61333,                 1.0694,               0.007228,               0.007228,               0.007228
                    114,                0.21326,                0.45154,                0.97082,                0.79276,                0.73972,                0.83496,                0.50184,                0.20161,                0.58326,                 1.0501,              0.0072033,              0.0072033,              0.0072033
                    115,                0.21644,                0.45169,                0.97643,                0.77153,                 0.7444,                0.81853,                0.48625,                0.20572,                0.60595,                 1.0717,              0.0071785,              0.0071785,              0.0071785
                    116,                 0.2157,                0.45154,                0.97402,                0.74512,                0.74426,                0.81185,                0.47902,                 0.2047,                0.60632,                 1.0656,              0.0071538,              0.0071538,              0.0071538
                    117,                0.21597,                0.44708,                0.98056,                0.76318,                0.75059,                0.81818,                0.46446,                0.22525,                 0.6308,                 1.0866,               0.007129,               0.007129,               0.007129
                    118,                0.21815,                0.45636,                0.97403,                0.76753,                0.75058,                0.82281,                0.49198,                0.20045,                0.59487,                 1.0526,              0.0071042,              0.0071042,              0.0071042
                    119,                0.21305,                0.43027,                0.97254,                0.77532,                0.72578,                0.82176,                0.49458,                0.19779,                0.61522,                 1.0492,              0.0070795,              0.0070795,              0.0070795
                    120,                0.20325,                0.43485,                0.97039,                0.76354,                0.72723,                0.80488,                0.48058,                0.20158,                0.65098,                 1.0569,              0.0070547,              0.0070547,              0.0070547
                    121,                0.21334,                0.43908,                0.96797,                0.79374,                0.72302,                0.81801,                0.48449,                0.20753,                0.59363,                 1.0648,                0.00703,                0.00703,                0.00703
                    122,                0.20613,                 0.4296,                0.96628,                0.76559,                0.73795,                0.81955,                0.48576,                0.20475,                0.59951,                 1.0537,              0.0070053,              0.0070053,              0.0070053
                    123,                0.21352,                0.43544,                 0.9689,                0.75633,                0.75408,                0.81622,                0.49234,                0.19658,                0.61476,                 1.0496,              0.0069805,              0.0069805,              0.0069805
                    124,                0.21129,                0.41712,                0.96848,                0.78443,                0.72623,                0.81517,                0.48329,                0.20054,                 0.6223,                 1.0721,              0.0069558,              0.0069558,              0.0069558
                    125,                0.20919,                 0.4264,                0.96758,                 0.7764,                0.73738,                0.81554,                0.49744,                0.19692,                0.62687,                 1.0441,               0.006931,               0.006931,               0.006931
                    126,                0.20903,                0.41926,                0.96576,                0.75633,                 0.7472,                0.81897,                 0.4986,                0.19424,                0.62803,                 1.0367,              0.0069063,              0.0069063,              0.0069063
                    127,                0.20794,                0.42748,                0.97251,                 0.7794,                0.71189,                0.79687,                0.47847,                0.20392,                0.68289,                 1.0529,              0.0068815,              0.0068815,              0.0068815
                    128,                0.21338,                0.42167,                0.97012,                0.77297,                0.70179,                0.79543,                0.47451,                0.20201,                0.67406,                 1.0568,              0.0068568,              0.0068568,              0.0068568
                    129,                0.21079,                0.42109,                0.96319,                0.75666,                0.72205,                0.79357,                0.47194,                0.20209,                0.66282,                 1.0618,               0.006832,               0.006832,               0.006832
                    130,                0.21109,                0.41854,                0.96828,                0.76676,                0.72629,                0.80101,                0.47017,                0.20579,                0.64423,                 1.0672,              0.0068073,              0.0068073,              0.0068073
                    131,                0.20809,                0.41436,                0.95763,                0.73201,                0.75385,                0.80695,                0.48327,                0.19846,                0.63911,                 1.0477,              0.0067825,              0.0067825,              0.0067825
                    132,                0.20326,                0.41986,                0.96179,                0.76597,                0.74445,                0.81348,                0.49458,                0.19867,                0.61748,                 1.0472,              0.0067577,              0.0067577,              0.0067577
                    133,                0.20801,                0.41419,                0.95764,                0.76909,                0.73631,                0.81233,                0.47763,                0.21182,                0.61243,                 1.0648,               0.006733,               0.006733,               0.006733
                    134,                0.21598,                0.40505,                0.96677,                0.77741,                0.73359,                0.81281,                0.49053,                0.19893,                0.62358,                 1.0499,              0.0067082,              0.0067082,              0.0067082
                    135,                0.20835,                0.41489,                0.96007,                0.77684,                0.72672,                0.81764,                0.48265,                0.20101,                0.61071,                 1.0521,              0.0066835,              0.0066835,              0.0066835
                    136,                 0.2066,                0.40515,                0.96288,                 0.7598,                0.74485,                0.80986,                0.48764,                0.19621,                0.63794,                 1.0489,              0.0066587,              0.0066587,              0.0066587
                    137,                0.20217,                0.39486,                0.96125,                0.78615,                0.71979,                0.81645,                0.47832,                0.20132,                0.64244,                 1.0691,               0.006634,               0.006634,               0.006634
                    138,                0.20672,                0.39421,                0.95871,                0.78052,                 0.7058,                 0.7927,                 0.4752,                0.19868,                 0.6571,                 1.0496,              0.0066092,              0.0066092,              0.0066092
                    139,                 0.2048,                0.39225,                0.96216,                0.78258,                 0.7229,                0.80594,                0.47832,                 0.1981,                0.62245,                 1.0485,              0.0065845,              0.0065845,              0.0065845
                    140,                0.20324,                0.39566,                0.95733,                0.77233,                0.71169,                0.80274,                0.47992,                0.19886,                0.64004,                 1.0443,              0.0065598,              0.0065598,              0.0065598
                    141,                  0.208,                0.40505,                0.95973,                0.73614,                0.75033,                0.80516,                0.49031,                0.19425,                 0.6302,                 1.0402,               0.006535,               0.006535,               0.006535
                    142,                0.21305,                0.39642,                0.96707,                0.76935,                0.73712,                0.81263,                0.48506,                0.20098,                0.63264,                 1.0437,              0.0065102,              0.0065102,              0.0065102
                    143,                0.20009,                0.38997,                0.95429,                0.74134,                0.73316,                0.80362,                0.48565,                0.19685,                0.67526,                 1.0414,              0.0064855,              0.0064855,              0.0064855
                    144,                 0.2041,                 0.3884,                0.95787,                0.79406,                0.70875,                0.80685,                0.48766,                0.19996,                0.65496,                 1.0417,              0.0064608,              0.0064608,              0.0064608
                    145,                0.20171,                0.39283,                0.95281,                 0.7872,                0.72363,                0.81275,                 0.4879,                0.19998,                0.63041,                 1.0486,               0.006436,               0.006436,               0.006436
                    146,                0.21215,                0.39452,                0.96533,                0.76133,                0.75127,                0.81337,                0.48689,                0.19523,                0.63054,                 1.0486,              0.0064112,              0.0064112,              0.0064112
                    147,                0.20302,                0.38009,                0.96108,                0.78363,                0.71307,                 0.7944,                0.48418,                0.19942,                0.65892,                 1.0402,              0.0063865,              0.0063865,              0.0063865
                    148,                0.20405,                0.38736,                 0.9592,                0.80256,                 0.7091,                0.80887,                0.48113,                0.20651,                0.63866,                 1.0532,              0.0063618,              0.0063618,              0.0063618
                    149,                0.20215,                0.38392,                0.95625,                0.77402,                0.74467,                0.82015,                0.49549,                0.19732,                0.61391,                 1.0425,               0.006337,               0.006337,               0.006337
                    150,                0.20799,                0.38335,                0.95581,                0.73682,                0.73052,                0.79503,                0.48193,                 0.1972,                0.65844,                  1.048,              0.0063122,              0.0063122,              0.0063122
                    151,                0.20385,                 0.3666,                0.95266,                0.77254,                0.73938,                0.81038,                0.48972,                0.19506,                0.63156,                 1.0432,              0.0062875,              0.0062875,              0.0062875
                    152,                0.20572,                0.37074,                 0.9538,                0.76454,                0.72832,                0.79479,                0.48271,                0.19689,                0.68971,                 1.0433,              0.0062628,              0.0062628,              0.0062628
                    153,                0.19613,                0.37111,                 0.9469,                0.76307,                0.73343,                0.79846,                 0.4865,                0.19782,                0.67868,                 1.0467,               0.006238,               0.006238,               0.006238
                    154,                0.19922,                0.37885,                0.95027,                0.75624,                0.71025,                0.78954,                0.47512,                0.19907,                0.71644,                 1.0474,              0.0062132,              0.0062132,              0.0062132
                    155,                0.20077,                0.37257,                0.95356,                0.75582,                0.74529,                0.80619,                0.49282,                0.19528,                0.65214,                 1.0392,              0.0061885,              0.0061885,              0.0061885
                    156,                0.20121,                0.37079,                0.95241,                0.72595,                0.73066,                0.77491,                0.46655,                0.20003,                0.69148,                 1.0553,              0.0061637,              0.0061637,              0.0061637
                    157,                0.20785,                0.36152,                 0.9549,                0.75119,                0.72325,                0.79574,                0.47769,                 0.2001,                0.64265,                 1.0492,               0.006139,               0.006139,               0.006139
                    158,                0.20736,                0.37658,                0.95104,                0.73408,                0.76207,                0.80345,                0.48468,                0.20219,                0.65169,                 1.0458,              0.0061142,              0.0061142,              0.0061142
                    159,                0.20606,                0.36861,                0.95327,                0.77013,                0.74113,                0.80045,                0.47165,                0.19774,                0.67967,                 1.0573,              0.0060895,              0.0060895,              0.0060895
                    160,                0.20091,                0.36198,                 0.9497,                0.78093,                 0.7148,                0.80393,                0.48652,                0.19757,                0.62762,                 1.0445,              0.0060647,              0.0060647,              0.0060647
                    161,                0.20373,                0.36575,                0.95307,                0.77912,                0.70155,                0.78863,                0.48652,                0.19717,                 0.7157,                 1.0449,                0.00604,                0.00604,                0.00604
                    162,                0.20144,                0.35957,                0.95256,                0.76775,                0.73568,                0.80259,                0.48825,                0.19734,                0.68524,                 1.0401,              0.0060152,              0.0060152,              0.0060152
                    163,                0.20102,                0.36513,                 0.9493,                0.77472,                0.73034,                0.80985,                0.48566,                0.19638,                0.62513,                  1.045,              0.0059905,              0.0059905,              0.0059905
                    164,                0.19322,                0.35199,                0.94684,                0.78108,                0.72684,                 0.8071,                0.49045,                0.19472,                 0.6454,                  1.038,              0.0059658,              0.0059658,              0.0059658
